station,model,is_final_model,cv_folds,n_months_cv,skill_vs_persistence,skill_vs_trend,rmse_m,mae_m,bias_m,r_squared,correlation
Portland,persistence,False,5,30,0.000000,-0.023872,0.037608,0.029974,0.001286,-0.314277,0.319987
Portland,trend_only,False,5,30,0.023315,0.000000,0.036731,0.029699,-0.003815,-0.253706,-0.316298
Portland,trend_seasonal,False,5,30,-2.631090,-2.717770,0.136557,0.076778,-0.054711,-16.328491,-0.160311
Portland,ols_reduced,False,5,30,-0.020511,-0.044873,0.038379,0.032962,-0.007694,-0.368745,0.460587
Portland,ols_reduced_detrended,False,5,30,-0.020511,-0.044873,0.038379,0.032962,-0.007694,-0.368745,0.460587
Portland,ols_with_argo_detrended,False,5,30,-0.086240,-0.112171,0.040851,0.030543,-0.009465,-0.550739,0.579162
Portland,ols_with_argo_ridge,True,5,30,0.161852,0.141844,0.031521,0.026537,-0.007849,0.076731,0.458652
Bar Harbor,persistence,False,5,30,0.000000,0.131028,0.031342,0.024690,0.001805,0.040411,0.498468
Bar Harbor,trend_only,False,5,30,-0.150785,0.000000,0.036068,0.029284,0.002466,-0.270788,-0.335342
Bar Harbor,trend_seasonal,False,5,30,-2.824394,-2.323293,0.119865,0.068809,-0.039018,-13.034940,-0.374997
Bar Harbor,ols_reduced,False,5,30,0.146667,0.258477,0.026745,0.020201,-0.005788,0.301249,0.710745
Bar Harbor,ols_reduced_detrended,False,5,30,0.146667,0.258477,0.026745,0.020201,-0.005788,0.301249,0.710745
Bar Harbor,ols_with_argo_detrended,False,5,30,-0.067876,0.072045,0.033470,0.022809,-0.007490,-0.094276,0.656332
Bar Harbor,ols_with_argo_ridge,True,5,30,0.186777,0.293332,0.025488,0.019595,-0.004686,0.365394,0.635467
